"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","bachelor's degree","standard","completed","71","76","82"
"male","group C","some college","free/reduced","none","54","57","50"
"female","group B","associate's degree","standard","completed","49","60","66"
"male","group B","high school","standard","none","67","60","59"
"male","group C","some high school","standard","completed","76","68","67"
"male","group D","high school","standard","none","75","75","66"
"female","group D","master's degree","free/reduced","none","66","78","76"
"male","group D","high school","standard","none","68","51","47"
"female","group C","associate's degree","standard","none","62","61","66"
"male","group E","some college","standard","none","72","68","62"
"female","group A","associate's degree","free/reduced","none","41","68","64"
"female","group D","associate's degree","standard","none","59","69","73"
"male","group D","high school","standard","completed","76","70","69"
"male","group B","associate's degree","standard","completed","61","67","62"
"male","group C","high school","standard","none","83","75","72"
"female","group C","some high school","standard","completed","66","89","87"
"male","group D","associate's degree","standard","completed","78","79","82"
"male","group A","some college","standard","none","65","56","55"
"female","group D","some high school","standard","none","81","80","84"
"female","group C","associate's degree","free/reduced","none","47","53","55"
"male","group D","some college","standard","none","61","53","55"
"female","group D","some college","standard","completed","96","96","100"
"female","group C","some college","standard","none","92","96","99"
"female","group A","some college","standard","completed","61","74","78"
"male","group D","some college","standard","completed","85","78","80"
"male","group B","some college","standard","none","69","67","58"
"male","group D","associate's degree","standard","none","84","77","77"
"female","group B","master's degree","standard","completed","87","98","100"
"male","group B","some high school","standard","completed","46","56","54"
"male","group C","high school","free/reduced","none","44","44","38"
"male","group D","some college","standard","completed","52","47","49"
"male","group C","some high school","free/reduced","completed","57","55","50"
"male","group B","some college","standard","none","81","75","64"
"male","group D","bachelor's degree","standard","none","85","73","77"
"male","group B","associate's degree","standard","completed","93","88","86"
"female","group E","some high school","standard","none","66","76","69"
"female","group B","some high school","standard","completed","59","66","70"
"male","group A","high school","standard","none","71","60","65"
"male","group D","high school","standard","none","64","63","59"
"male","group E","some college","standard","none","65","65","60"
"male","group A","some college","standard","completed","90","84","88"
"male","group D","some college","free/reduced","none","52","58","59"
"male","group C","high school","standard","none","50","59","55"
"male","group D","high school","free/reduced","completed","75","73","81"
"female","group C","some college","standard","none","74","91","88"
"male","group A","bachelor's degree","standard","completed","54","65","61"
"male","group D","master's degree","standard","completed","89","90","95"
"male","group C","bachelor's degree","standard","none","91","86","83"
"female","group A","bachelor's degree","standard","none","56","65","67"
"female","group D","some high school","standard","completed","75","81","82"
"male","group A","some high school","standard","none","58","64","56"
"male","group A","some college","standard","none","49","43","36"
"female","group C","master's degree","standard","none","61","72","77"
"male","group D","some college","standard","none","81","72","79"
"female","group E","associate's degree","standard","none","48","51","49"
"male","group C","some high school","standard","completed","54","52","47"
"male","group C","some college","standard","none","64","72","62"
"female","group E","some college","free/reduced","none","64","74","72"
"female","group D","associate's degree","standard","completed","67","79","87"
"female","group B","some high school","free/reduced","none","39","58","52"
"male","group C","some college","free/reduced","none","65","82","70"
"male","group A","high school","free/reduced","completed","54","62","56"
"female","group B","high school","standard","none","87","95","89"
"female","group D","some college","free/reduced","none","61","73","64"
"female","group E","associate's degree","standard","none","82","89","86"
"male","group E","some college","standard","none","83","76","73"
"male","group D","some high school","standard","none","50","42","37"
"male","group B","some high school","standard","none","41","43","37"
"female","group B","associate's degree","standard","none","68","76","79"
"female","group D","some high school","free/reduced","none","45","39","48"
"male","group D","high school","free/reduced","none","54","45","48"
"male","group E","high school","standard","none","80","73","66"
"male","group D","high school","free/reduced","none","84","76","70"
"male","group D","associate's degree","standard","completed","60","50","54"
"male","group B","associate's degree","standard","completed","80","76","74"
"female","group D","some college","free/reduced","completed","40","50","56"
"male","group C","bachelor's degree","free/reduced","completed","85","96","92"
"male","group D","some high school","free/reduced","none","55","60","52"
"male","group C","some college","standard","completed","86","77","75"
"female","group D","associate's degree","standard","none","76","90","86"
"female","group D","associate's degree","standard","completed","84","94","95"
"male","group C","associate's degree","free/reduced","completed","74","74","71"
"male","group B","master's degree","free/reduced","completed","59","70","65"
"male","group C","high school","standard","none","45","43","41"
"female","group B","some college","standard","completed","66","69","73"
"female","group C","high school","standard","none","68","78","71"
"female","group D","associate's degree","free/reduced","none","67","73","80"
"female","group C","bachelor's degree","standard","none","62","79","78"
"female","group C","associate's degree","standard","none","71","70","76"
"male","group D","some high school","standard","none","57","50","49"
"female","group C","some college","standard","completed","85","82","85"
"female","group B","high school","standard","none","73","86","88"
"male","group C","some high school","free/reduced","none","52","50","44"
"female","group B","some high school","standard","completed","71","77","85"
"female","group D","high school","free/reduced","none","39","46","46"
"male","group C","some college","free/reduced","none","70","77","67"
"female","group C","some high school","free/reduced","none","40","51","50"
"male","group C","some high school","standard","completed","82","81","76"
"female","group D","bachelor's degree","standard","none","52","62","66"
"female","group C","associate's degree","standard","none","62","71","74"
"male","group E","some high school","standard","none","68","53","55"
"female","group D","some high school","standard","completed","61","69","75"
"female","group C","associate's degree","standard","none","63","74","72"
"male","group E","high school","free/reduced","none","69","74","67"
"male","group C","associate's degree","free/reduced","none","78","71","67"
"male","group B","high school","standard","completed","77","70","70"
"male","group D","some college","standard","none","95","88","84"
"male","group D","high school","standard","none","69","64","63"
"female","group D","bachelor's degree","free/reduced","none","77","89","86"
"female","group C","some high school","standard","completed","70","81","87"
"female","group D","some college","standard","none","53","54","49"
"male","group B","high school","standard","none","86","73","68"
"female","group D","associate's degree","free/reduced","none","48","45","53"
"male","group A","some college","standard","none","73","78","65"
"male","group D","associate's degree","standard","completed","83","75","76"
"male","group D","associate's degree","standard","completed","94","91","95"
"male","group D","some college","free/reduced","none","73","70","74"
"male","group C","associate's degree","standard","completed","100","97","96"
"male","group E","high school","standard","completed","87","80","77"
"male","group B","associate's degree","free/reduced","completed","53","44","49"
"female","group D","some high school","standard","completed","59","78","77"
"male","group A","high school","standard","completed","67","56","56"
"male","group C","high school","standard","completed","65","64","64"
"female","group B","some high school","free/reduced","none","55","56","62"
"male","group A","bachelor's degree","standard","none","83","78","76"
"female","group D","some college","free/reduced","none","44","63","63"
"female","group E","some high school","standard","none","64","72","75"
"female","group C","some college","standard","none","73","73","74"
"female","group A","master's degree","standard","none","81","83","85"
"female","group B","bachelor's degree","standard","none","50","63","62"
"male","group C","some high school","standard","none","60","53","54"
"male","group C","some high school","standard","none","82","74","72"
"female","group E","high school","free/reduced","completed","81","92","88"
"female","group B","some college","free/reduced","none","52","53","58"
"female","group C","associate's degree","standard","none","68","83","74"
"female","group C","associate's degree","free/reduced","none","51","65","57"
"male","group B","some high school","standard","none","51","59","46"
"female","group E","high school","standard","completed","74","70","75"
"female","group B","some college","standard","none","50","61","64"
"male","group B","some high school","standard","none","25","18","19"
"male","group D","bachelor's degree","free/reduced","none","66","63","61"
"male","group A","high school","standard","none","75","71","64"
"female","group C","some college","free/reduced","none","74","90","83"
"male","group B","high school","standard","none","92","86","83"
"male","group D","some college","free/reduced","completed","42","53","46"
"female","group C","high school","standard","none","46","46","41"
"female","group C","associate's degree","standard","completed","75","92","91"
"female","group C","master's degree","free/reduced","completed","57","74","77"
"female","group D","some college","standard","completed","71","78","80"
"female","group B","some college","standard","none","48","56","56"
"female","group D","bachelor's degree","standard","completed","83","94","96"
"female","group D","some college","free/reduced","completed","77","86","93"
"female","group C","associate's degree","standard","completed","82","94","90"
"male","group C","associate's degree","standard","none","64","68","60"
"male","group D","some high school","standard","none","46","42","40"
"female","group E","some high school","free/reduced","none","68","70","64"
"male","group D","high school","standard","none","77","70","72"
"female","group D","associate's degree","free/reduced","none","41","57","58"
"female","group C","some high school","standard","none","57","74","60"
"male","group D","some high school","standard","completed","73","66","66"
"male","group C","some high school","standard","none","75","79","77"
"female","group D","some college","standard","completed","84","97","100"
"male","group C","some college","standard","completed","83","81","84"
"female","group C","bachelor's degree","standard","completed","47","47","56"
"female","group C","some college","standard","completed","65","67","68"
"male","group C","bachelor's degree","free/reduced","none","60","60","56"
"male","group C","high school","standard","none","84","71","73"
"male","group E","high school","standard","none","75","67","64"
"female","group E","associate's degree","standard","completed","99","98","100"
"female","group C","some college","standard","none","59","54","60"
"female","group D","some college","free/reduced","completed","58","69","74"
"male","group E","associate's degree","standard","none","62","54","54"
"female","group C","some college","standard","none","84","86","80"
"female","group C","some college","standard","none","82","88","90"
"male","group C","high school","standard","none","44","45","37"
"male","group D","some college","free/reduced","none","60","60","59"
"female","group C","high school","standard","completed","72","75","75"
"female","group B","some college","standard","none","71","75","73"
"female","group B","high school","free/reduced","completed","55","60","68"
"female","group D","high school","free/reduced","none","40","67","61"
"male","group B","some college","standard","none","72","66","58"
"female","group C","some college","standard","none","74","92","84"
"male","group E","some college","standard","none","74","54","56"
"male","group B","associate's degree","free/reduced","none","51","54","48"
"female","group C","associate's degree","standard","completed","46","61","64"
"male","group C","high school","standard","none","24","24","24"
"male","group C","some college","free/reduced","none","65","66","56"
"female","group C","bachelor's degree","standard","none","63","67","76"
"female","group E","associate's degree","free/reduced","none","73","77","72"
"male","group C","some college","free/reduced","completed","72","76","76"
"male","group E","associate's degree","free/reduced","none","70","59","60"
"female","group B","high school","free/reduced","completed","63","74","73"
"female","group C","high school","standard","none","70","80","76"
"female","group E","bachelor's degree","free/reduced","none","88","93","85"
"male","group B","some college","free/reduced","none","72","59","59"
"male","group A","some college","standard","none","45","46","43"
"female","group B","high school","standard","none","79","84","86"
"male","group A","associate's degree","standard","none","89","88","84"
"female","group B","some high school","standard","none","69","76","77"
"female","group C","high school","standard","completed","80","94","94"
"female","group D","some college","standard","none","53","56","56"
"female","group B","bachelor's degree","standard","none","61","69","72"
"female","group C","some high school","standard","completed","56","59","64"
"female","group D","associate's degree","standard","none","90","95","98"
"male","group C","high school","free/reduced","completed","71","77","74"
"male","group A","some high school","standard","completed","79","78","75"
"female","group E","some college","standard","completed","83","93","91"
"female","group C","some high school","free/reduced","none","24","47","38"
"female","group A","bachelor's degree","standard","completed","84","81","89"
"female","group C","high school","free/reduced","completed","67","75","78"
"male","group D","associate's degree","standard","none","72","55","52"
"female","group C","some college","standard","none","50","69","55"
"female","group B","associate's degree","free/reduced","completed","66","91","83"
"male","group B","some college","standard","completed","58","62","60"
"female","group A","associate's degree","standard","completed","83","82","89"
"female","group E","associate's degree","standard","completed","79","89","91"
"male","group D","master's degree","standard","none","100","87","91"
"male","group E","bachelor's degree","free/reduced","completed","87","86","87"
"male","group D","high school","standard","none","61","63","58"
"male","group D","some high school","free/reduced","none","71","61","67"
"female","group C","associate's degree","standard","none","45","59","57"
"female","group B","associate's degree","standard","none","80","86","87"
"male","group C","associate's degree","standard","completed","88","76","78"
"male","group B","some college","standard","none","69","66","65"
"female","group E","some high school","standard","none","63","63","61"
"male","group B","associate's degree","standard","none","67","57","62"
"male","group B","some high school","standard","completed","73","75","70"
"female","group C","some college","standard","completed","63","68","76"
"female","group C","some college","free/reduced","completed","48","63","61"
"male","group C","high school","standard","completed","55","55","55"
"male","group D","high school","standard","none","89","88","87"
"male","group B","associate's degree","standard","none","64","60","58"
"male","group C","bachelor's degree","free/reduced","none","58","56","51"
"female","group D","bachelor's degree","free/reduced","none","56","73","68"
"female","group C","bachelor's degree","free/reduced","none","63","66","67"
"female","group B","high school","standard","none","65","74","71"
"male","group B","some high school","standard","none","57","49","45"
"female","group C","some college","standard","completed","50","64","64"
"female","group B","some high school","standard","completed","70","81","81"
"female","group C","some college","standard","none","78","89","92"
"female","group C","some college","standard","none","57","76","69"
"male","group B","some college","standard","none","55","37","30"
"female","group C","bachelor's degree","free/reduced","none","40","66","60"
"male","group A","bachelor's degree","standard","none","64","56","60"
"male","group C","high school","standard","completed","100","100","98"
"male","group C","some college","standard","none","87","84","80"
"female","group E","bachelor's degree","standard","completed","88","94","93"
"male","group D","high school","standard","none","85","74","76"
"male","group B","bachelor's degree","standard","none","93","94","88"
"male","group C","bachelor's degree","standard","none","59","52","52"
"male","group E","bachelor's degree","free/reduced","none","64","60","60"
"female","group D","bachelor's degree","standard","none","69","80","78"
"male","group D","high school","free/reduced","none","77","67","64"
"female","group C","some high school","free/reduced","none","53","57","47"
"male","group A","high school","free/reduced","none","49","53","46"
"female","group D","associate's degree","standard","completed","44","54","60"
"male","group D","associate's degree","standard","none","78","71","67"
"female","group C","high school","standard","none","66","78","78"
"female","group A","some college","standard","completed","54","63","63"
"female","group D","some high school","standard","none","51","55","59"
"female","group C","master's degree","standard","completed","83","96","100"
"male","group D","associate's degree","free/reduced","completed","63","67","66"
"male","group A","master's degree","free/reduced","completed","73","75","77"
"female","group D","bachelor's degree","standard","none","70","84","80"
"female","group D","some college","free/reduced","none","60","73","71"
"female","group D","some college","free/reduced","none","51","68","66"
"female","group A","some high school","standard","none","69","77","77"
"male","group E","some high school","standard","completed","86","71","71"
"female","group B","associate's degree","free/reduced","completed","45","61","67"
"male","group C","bachelor's degree","standard","completed","61","46","56"
"male","group C","associate's degree","standard","none","63","47","51"
"male","group E","some college","standard","none","100","99","89"
"female","group C","bachelor's degree","free/reduced","completed","62","70","77"
"male","group C","some college","standard","completed","74","65","66"
"male","group E","master's degree","standard","completed","60","54","55"
"female","group D","high school","standard","none","39","42","45"
"male","group C","master's degree","standard","completed","74","71","77"
"female","group C","some college","standard","none","50","57","52"
"female","group D","associate's degree","standard","none","56","61","59"
"male","group D","associate's degree","standard","none","81","68","76"
"female","group B","high school","free/reduced","none","26","48","41"
"male","group C","associate's degree","free/reduced","none","83","82","74"
"female","group C","associate's degree","standard","none","96","95","95"
"female","group B","master's degree","standard","none","72","84","78"
"male","group C","some college","free/reduced","none","33","37","34"
"female","group A","high school","standard","completed","34","60","58"
"female","group E","associate's degree","standard","none","88","96","90"
"male","group D","some college","standard","none","77","68","71"
"female","group B","bachelor's degree","free/reduced","none","70","75","77"
"male","group E","master's degree","standard","none","100","95","96"
"male","group C","associate's degree","standard","none","63","55","51"
"female","group D","some high school","standard","none","66","73","79"
"female","group A","associate's degree","standard","none","51","69","64"
"female","group D","associate's degree","free/reduced","completed","70","73","81"
"female","group C","some high school","standard","none","63","68","66"
"female","group C","some high school","standard","completed","73","84","85"
"male","group C","some high school","standard","none","65","63","54"
"male","group B","high school","standard","none","69","68","63"
"female","group A","master's degree","free/reduced","completed","55","63","64"
"male","group B","high school","standard","completed","49","45","52"
"female","group B","master's degree","free/reduced","completed","49","61","73"
"female","group B","some high school","free/reduced","completed","41","54","64"
"male","group B","bachelor's degree","standard","completed","62","56","60"
"female","group C","some high school","standard","none","58","56","60"
"male","group E","master's degree","standard","none","87","72","76"
"female","group E","some high school","free/reduced","none","68","70","66"
"female","group E","associate's degree","free/reduced","none","67","66","66"
"male","group B","associate's degree","standard","completed","88","85","88"
"female","group C","some high school","standard","none","55","70","60"
"female","group A","bachelor's degree","free/reduced","none","60","66","65"
"female","group D","some college","standard","completed","97","97","100"
"female","group E","master's degree","standard","completed","92","100","100"
"female","group D","associate's degree","standard","none","46","59","55"
"female","group C","some college","standard","completed","80","100","98"
"male","group D","high school","standard","none","64","57","60"
"male","group C","high school","standard","none","68","72","66"
"female","group C","some college","standard","completed","71","80","76"
"male","group B","bachelor's degree","standard","completed","68","62","61"
"male","group C","associate's degree","standard","none","58","52","52"
"female","group A","some college","standard","completed","77","74","81"
"female","group B","some college","standard","none","53","72","63"
"male","group D","bachelor's degree","free/reduced","none","75","76","69"
"female","group B","high school","standard","none","68","80","76"
"female","group B","some high school","free/reduced","completed","79","88","85"
"female","group C","associate's degree","standard","none","56","62","62"
"female","group B","some college","standard","none","77","89","82"
"female","group B","some college","standard","none","43","60","58"
"female","group D","associate's degree","standard","none","47","52","55"
"female","group C","high school","standard","none","73","79","76"
"male","group B","high school","free/reduced","none","52","53","47"
"female","group D","master's degree","free/reduced","none","78","90","84"
"female","group E","associate's degree","standard","none","80","100","100"
"female","group D","some high school","standard","none","78","74","81"
"female","group C","some high school","standard","completed","72","74","76"
"male","group C","bachelor's degree","standard","none","83","79","76"
"male","group C","high school","standard","none","75","57","55"
"female","group C","some high school","free/reduced","completed","55","71","71"
"female","group E","high school","standard","completed","60","63","66"
"female","group E","associate's degree","standard","none","91","99","92"
"male","group C","some high school","free/reduced","none","49","55","45"
"female","group C","some high school","free/reduced","none","54","70","64"
"female","group B","some college","standard","none","70","72","72"
"female","group A","master's degree","standard","completed","85","100","100"
"female","group C","master's degree","standard","completed","66","86","80"
"female","group C","some high school","free/reduced","none","49","53","53"
"male","group D","high school","standard","completed","66","63","61"
"male","group D","bachelor's degree","standard","completed","98","96","100"
"male","group D","master's degree","standard","completed","100","98","100"
"male","group A","associate's degree","standard","none","54","52","51"
"female","group E","bachelor's degree","standard","none","93","100","96"
"female","group C","some college","free/reduced","completed","69","86","79"
"female","group D","some college","standard","completed","38","52","57"
"male","group C","high school","standard","completed","62","56","56"
"female","group C","some high school","standard","none","58","61","64"
"male","group C","some college","free/reduced","completed","47","51","49"
"female","group B","some college","standard","completed","90","100","100"
"male","group A","associate's degree","standard","completed","99","98","97"
"male","group D","some high school","standard","none","87","77","75"
"male","group D","bachelor's degree","standard","none","58","54","48"
"male","group D","associate's degree","standard","completed","92","79","81"
"male","group B","some high school","standard","none","57","53","46"
